Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
ON/OFF,,B1,KGPS22F03,Component_1,1
100nF,Capacitor,"C1, C3, C6, C7, C8, C12, C13, C14, C15, C16, C18, C19, C21, C26, C27, C28, C29, C32, C34, C35, C37, C38, C48",CAPC1608N,Cap,25
18pF,Capacitor,"C2, C4",CAPC1608N,Cap,2
10 uF,Capacitor,"C5, C11",CAPC3216N,Cap_2,2
15pF,Capacitor,"C9, C10, C22, C45",CAPC1608N,CAP,4
10uF,Capacitor,"C17, C23, C31, C51",CAPC3216N,Cap_2,4
47pF,Capacitor,"C24, C42",CAPC1608N,CAP,2
10nF/16V,Capacitor,"C25, C33",CAPC2012N,Cap,2
2.2uF,Capacitor,"C30, C39",CAPC2012N,"Cap, Cap_2",2
1uF,Capacitor,C36,CAPC2012N,Cap_2,1
180pF,Capacitor,"C40, C43",CAPC1608N,CAP,2
10pF,Capacitor,"C41, C44",CAPC1608N,CAP,2
MBR0540,Default Diode,D1,SOD123/X.85,Diode,1
LED3,Typical BLUE SiC LED,DLED,LED 0603/1608 BLUE,LED3,1
miniSMDC260F/12,Thermal Fuse,"F1, F2",miniSMDC260F/12,Fuse Thermal,2
XSP,"Header, 4-Pin, Dual row, Right Angle",J1,HDR2X4H,Header 4X2H,1
Header 15,"Header, 15-Pin",JBOTTOM,B15B-XH-A,Header 15,1
Charger,,JCHG1,S3B-XH-A(LF)(SN),BATTCON,1
Header 5,"Header, 5-Pin",JDBG,HDR1X5,Header 5,1
Header 4,"Header, 4-Pin","JI2C, JSPI",HDR1X4,Header 4,2
Header 7,"Header, 7-Pin",JTOP,B7B-XH-A,Header 7,1
10uH,Inductor,L1,INDC1608N,Inductor,1
2.2uH,Inductor,"L2, L3",INDC1608N,Inductor,2
Mic2,Microphone,MK1,electret_6mm,Mic2,1
10k,Resistor,"R1, R2, R4, R5, R6, R7, R9, R12, R13, R14, R17, R18, R22",RESC1608N,Res2,13
20k,Resistor,R3,RESC1608N,Res2,1
100k,Resistor,R8,RESC1608N,Res2,1
3.3k,Resistor,R10,RESC1608N,Res2,1
22,Resistor,R11,RESC1608N,Res2,1
820,Resistor,R15,RESC1608N,Res2,1
5.1k,Resistor,"R16, R20, R21",RESC1608N,Res2,3
1K,Resistor,"R19, R23",RESC1608N,Res2,2
470,Resistor,R27,RESC1608N,Res2,1
1,Resistor,R28,RESC1608N,Res2,1
MCU,"8-bit AVR Microcontroller, 2.7-5.5V, 20MHz, 64KB Flash, 2KB EEPROM, 4KB SRAM, 44-pin TQFP",U1,atmega644p,ATmega644-20AU,1
LM358D,Dual Operational Amplifier,U2,LM358D,LM358D,1
W25Q64BVSIG,,U3,W25Q64BVSIG,W25Q64BVSIG,1
SN74HC04D,Hex Inverter,U4,D014_N,SN74HC04D,1
AZ1117CH-3.3,,U5,SOT223,LM1117,1
,,,,,
SN74HC08D,Quadruple 2-Input Positive-AND Gate,"U8, U14",D014_N,SN74HC08D,2
DRV8833,,"U9, U12",DRV8833,DRV8833,2
ITR9608 + 2x 额外的塑料片,,"U10, U11",ITR9608,ITR9608 + 2x 额外的塑料片,2
ADXL345BCCZ,,U13,ADXL345,ADXL345,1
AZ1084CD-5.0,,U101,AZ1084CD-5.0,AZ1084CD-5.0,1
WS2812B,,"ULED_INNER, ULED_OUTER1, ULED_OUTER2, ULED_OUTER3, ULED_OUTER4",WS2812B,WS2812B,5
MFRC52202HN1,,URFID,MFRC52202HN1,MFRC52202HN1,1
7A-27.120MAAJ-T,,XRFID,XTAL,Tm08B.S01_12M_42,1
ABM7-8.000MHZ-D2Y-T,,XTAL1,XTAL,ABM7-8.000MHZ-D2Y-T,1
